RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAL_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAMWIND_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAPRIDG4_CR4,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CAPRIDGE_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CARBN_BSP_1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CASL_GAP_UN1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBECII_1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBECII_2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBECII_CC3,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBEC_ALL,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBEC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBEC_CC2,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBY4_ALL,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBY4_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBY_CBY_G1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CBY_CBY_G2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_GT1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_GT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_PUN1,PUN,26.58
