Date,Close,Buy,Sell,p/l
2018-08-25 21:45:00,24.15,,,0.0
2018-08-25 22:00:00,22.19,,,0.0
2018-08-25 22:15:00,22.02,,,0.0
2018-08-25 22:30:00,22.52,,,0.0
2018-08-25 22:45:00,21.18,,22.52,-77.35276999999999
2018-08-25 23:00:00,20.3,,,0.0
2018-08-25 23:15:00,20.53,20.3,,0.0
2018-08-25 23:30:00,20.56,,20.53,2.2591700000000037
2018-08-25 23:45:00,20.26,,,0.0
2018-08-26 00:00:00,19.88,,,0.0
2018-08-26 00:15:00,20.43,19.88,,0.0
2018-08-26 00:30:00,20.92,,20.43,5.459690000000007
2018-08-26 00:45:00,20.65,,,0.0
